"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'NSName\n            $DNSRecordObject', '', 'NSName', 'DNSRecordObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name $DNSRecord', '', 'Name', 'DNSRecord', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name $Parameter', '', 'Name', 'Parameter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name $_', '', 'Name', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Name\n                        $Member', '', 'Name', 'Member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Namespace.$DllName', '', 'Namespace.', 'DllName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'NetSearcherArguments\n\n\n            $Results', '', 'NetSearcherArguments', 'Results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'NetworkCredential.Domain\n        $UserName', '', 'NetworkCredential.Domain', 'UserName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'NotContains $ObjectProperty', '', 'NotContains', 'ObjectProperty', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'NotContains $ShareName', '', 'NotContains', 'ShareName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'NotContains $Var', '', 'NotContains', 'Var', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                                    $UserLocation', '', 'Null', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                                $FoundConnection', '', 'Null', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                                $UserLocation', '', 'Null', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                        $MemberDomain', '', 'Null', 'MemberDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                    $GPOGroup', '', 'Null', 'GPOGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                    $GroupsXML', '', 'Null', 'GroupsXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                $blob_name', '', 'Null', 'blob_name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n                $target_list', '', 'Null', 'target_list', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n            $Output', '', 'Null', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n        $Identity', '', 'Null', 'Identity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n    $Assembly', '', 'Null', 'Assembly', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Null\n$Null', '', 'Null', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OID $Value', '', 'OID', 'Value', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OUComputers\n                        $GPOLocalGroupMapping', '', 'OUComputers', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object $keyusage', '', 'Object', 'keyusage', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.$ObjectProperty', '', 'Object.', 'ObjectProperty', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.SamAccountName\n                    $Out', '', 'Object.SamAccountName', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.SamAccountName\n                $DistinguishedName', '', 'Object.SamAccountName', 'DistinguishedName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.ServicePrincipalName\n                $SamAccountName', '', 'Object.ServicePrincipalName', 'SamAccountName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.distinguishedname\n                        $GPOComputerLocalGroupMember', '', 'Object.distinguishedname', 'GPOComputerLocalGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.distinguishedname\n                        $GPOLocalGroupMapping', '', 'Object.distinguishedname', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.distinguishedname\n                    $GPOLocalGroupMapping', '', 'Object.distinguishedname', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.distinguishedname\n                    $RBCDObject', '', 'Object.distinguishedname', 'RBCDObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.objectsid\n                        $GPOLocalGroupMapping', '', 'Object.objectsid', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.objectsid\n                    $GPOLocalGroupMapping', '', 'Object.objectsid', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.objectsid\n                    $RBCDObject', '', 'Object.objectsid', 'RBCDObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.samaccountname\n                        $GPOComputerLocalGroupMember', '', 'Object.samaccountname', 'GPOComputerLocalGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.samaccountname\n                        $GPOLocalGroupMapping', '', 'Object.samaccountname', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.samaccountname\n                    $GPOLocalGroupMapping', '', 'Object.samaccountname', 'GPOLocalGroupMapping', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.samaccountname\n                    $RBCDObject', '', 'Object.samaccountname', 'RBCDObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.samaccounttype\n                    $RBCDObject', '', 'Object.samaccounttype', 'RBCDObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.serviceprincipalname\n\n                    $Delegated', '', 'Object.serviceprincipalname', 'Delegated', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object.useraccountcontrol\n                    $RBCDObject', '', 'Object.useraccountcontrol', 'RBCDObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectArguments\n\n            $Searcher', '', 'ObjectArguments', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectDN\n                        $Output', '', 'ObjectDN', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectIdentity\n        $Out', '', 'ObjectIdentity', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectName $Groupname', '', 'ObjectName', 'Groupname', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectName $Member', '', 'ObjectName', 'Member', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectOU\n                    $GPOAdsPaths', '', 'ObjectOU', 'GPOAdsPaths', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectProperty\n                    $Out', '', 'ObjectProperty', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSID $GroupSID', '', 'ObjectSID', 'GroupSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSID $Properties', '', 'ObjectSID', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSID $SID', '', 'ObjectSID', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSID $_', '', 'ObjectSID', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSID\n                        $OutObject', '', 'ObjectSID', 'OutObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSearcherArguments\n                    $Properties', '', 'ObjectSearcherArguments', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSid $Object_VarGroup', '', 'ObjectSid', 'Object_VarGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSid $UserSID', '', 'ObjectSid', 'UserSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSid $acl', '', 'ObjectSid', 'acl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSid\n                            $_', '', 'ObjectSid', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectSid\n                    $SDDLObject', '', 'ObjectSid', 'SDDLObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ObjectType $AdmPropertyGuid', '', 'ObjectType', 'AdmPropertyGuid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object\n                $SamAccountName', '', 'Object', 'SamAccountName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_ExMember.MemberDomain\n                    $ObjectSearcherArguments', '', 'Object_ExMember.MemberDomain', 'ObjectSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Member.MemberDistinguishedName\n                                $ObjectGroupMember', '', 'Object_Member.MemberDistinguishedName', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Member.MemberDistinguishedName\n                            $ObjectGroupMember', '', 'Object_Member.MemberDistinguishedName', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Member.MemberDistinguishedName\n                    $Object_DomainDN', '', 'Object_Member.MemberDistinguishedName', 'Object_DomainDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Member.MemberDomain\n                                $ObjectGroupMember', '', 'Object_Member.MemberDomain', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Member.MemberName\n                                $ObjectGroupMember', '', 'Object_Member.MemberName', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Member.MemberName\n                            $ObjectGroupMember', '', 'Object_Member.MemberName', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Member.MemberSID\n                                $ObjectGroupMember', '', 'Object_Member.MemberSID', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_MemberDetail.description\n                                $ObjectGroupMember', '', 'Object_MemberDetail.description', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_MemberDetail.description\n                            $ObjectGroupMember', '', 'Object_MemberDetail.description', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_MemberDetail.lastLogonTimestamp\n                                $ObjectGroupMember', '', 'Object_MemberDetail.lastLogonTimestamp', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_MemberDetail.pwdLastSet\n                                $ObjectGroupMember', '', 'Object_MemberDetail.pwdLastSet', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_MemberDetail.userPrincipalName\n                                $ObjectGroupMember', '', 'Object_MemberDetail.userPrincipalName', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_MemberDetail.useraccountcontrol\n                                $ObjectGroupMember', '', 'Object_MemberDetail.useraccountcontrol', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Var_Template.CertificateNameFlag\n                    $Object_screen', '', 'Object_Var_Template.CertificateNameFlag', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Var_Template.EnrollmentFlag\n                    $Object_screen', '', 'Object_Var_Template.EnrollmentFlag', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Var_Template.distinguishedname\n                    $Object_screen', '', 'Object_Var_Template.distinguishedname', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Var_Template.name\n                    $Object_screen', '', 'Object_Var_Template.name', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Object_Var_Template.whencreated\n                    $Object_screen', '', 'Object_Var_Template.whencreated', 'Object_screen', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Out.name\n                    $Out', '', 'Out.name', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Out.name\n                $Out', '', 'Out.name', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Output $Output', '', 'Output', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OutputFormat $OutputFormat', '', 'OutputFormat', 'OutputFormat', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'OutputPrefix $Domain', '', 'OutputPrefix', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Owner.Domain\n                    $Process', '', 'Owner.Domain', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Owner.User\n                    $Process', '', 'Owner.User', 'Process', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PRINCIPAL\n    $cnameType', '', 'PRINCIPAL', 'cnameType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PSBoundParameters.$Parameter', '', 'PSBoundParameters.', 'Parameter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PageSize\n        $Searcher', '', 'PageSize', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ParameterAttribute.$_', '', 'ParameterAttribute.', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $Check', '', 'Path', 'Check', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $File', '', 'Path', 'File', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $GroupsXMLPath', '', 'Path', 'GroupsXMLPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $OutFile', '', 'Path', 'OutFile', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $SysVolPath', '', 'Path', 'SysVolPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $TargetGptTmplPath', '', 'Path', 'TargetGptTmplPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $TargetPath', '', 'Path', 'TargetPath', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Path $_', '', 'Path', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Pattern $SearchKeyWords', '', 'Pattern', 'SearchKeyWords', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Pkt $pkt', '', 'Pkt', 'pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Pkt\n            $blob_version', '', 'Pkt', 'blob_version', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Port $Port', '', 'Port', 'Port', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'PrincipalSID\n                        $OutObject', '', 'PrincipalSID', 'OutObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Privs.$SID', '', 'Privs.', 'SID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Privs.$_', '', 'Privs.', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProgressPreference\n        $Global', '', 'ProgressPreference', 'Global', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Properties $Prop', '', 'Properties', 'Prop', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Properties $_', '', 'Properties', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Properties.pkt\n\n                        $DFSshares', '', 'Properties.pkt', 'DFSshares', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Properties.remoteservername\n                        $Pkt', '', 'Properties.remoteservername', 'Pkt', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $AclProperties', '', 'Property', 'AclProperties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $FileParams', '', 'Property', 'FileParams', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $ObjectProperties', '', 'Property', 'ObjectProperties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $Output', '', 'Property', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $Properties', '', 'Property', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $Translate', '', 'Property', 'Translate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Property $dfs_pkt_properties', '', 'Property', 'dfs_pkt_properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProviderName\n                                $MountedDrive', '', 'ProviderName', 'MountedDrive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ProxyServer\n                    $Out', '', 'ProxyServer', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Ptr\n            $DNSRecordObject', '', 'Ptr', 'DNSRecordObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'REQUEST\n    $padatatype', '', 'REQUEST', 'padatatype', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RemotePath\n                                $MountedDrive', '', 'RemotePath', 'MountedDrive', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ResolveFlags\n                    $Object_Var_TemplateACL', '', 'ResolveFlags', 'Object_Var_TemplateACL', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'RestoreTargets.$ObjectSid', '', 'RestoreTargets.', 'ObjectSid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ResultPageSize\n            $Searcher', '', 'ResultPageSize', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SDDLObject\n                            $Objects', '', 'SDDLObject', 'Objects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SDDLObject\n                        $Objects', '', 'SDDLObject', 'Objects', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SID $subkey', '', 'SID', 'subkey', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SID\n                        $Out', '', 'SID', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SamAccountName\n                $Out', '', 'SamAccountName', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Scope $Scope', '', 'Scope', 'Scope', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ScriptBlock $HostEnumBlock', '', 'ScriptBlock', 'HostEnumBlock', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ScriptParameters $ScriptParams', '', 'ScriptParameters', 'ScriptParams', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearchBase $OUName', '', 'SearchBase', 'OUName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearchBase $SchemaDN', '', 'SearchBase', 'SchemaDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearchBase $_', '', 'SearchBase', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearchScope\n            $Searcher', '', 'SearchScope', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments $_', '', 'SearcherArguments', '_', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n            $Identity', '', 'SearcherArguments', 'Identity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n            $Results', '', 'SearcherArguments', 'Results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n            $Searcher', '', 'SearcherArguments', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n        $DomainDNArguments', '', 'SearcherArguments', 'DomainDNArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n        $Request', '', 'SearcherArguments', 'Request', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n        $Results', '', 'SearcherArguments', 'Results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n        $UserSearcher', '', 'SearcherArguments', 'UserSearcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n    $adPEAS_RootDomSID', '', 'SearcherArguments', 'adPEAS_RootDomSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n    \n        $RefOidDCAuthTemplate', '', 'SearcherArguments', 'RefOidDCAuthTemplate', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n\n            $Request', '', 'SearcherArguments', 'Request', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SearcherArguments\n\n        $DomainGUIDMapArguments', '', 'SearcherArguments', 'DomainGUIDMapArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Seconds $RandNo', '', 'Seconds', 'RandNo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SecureString $Password', '', 'SecureString', 'Password', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Server $DomainController', '', 'Server', 'DomainController', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Server\n                            $FoundConnection', '', 'Server', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Server\n                $DomainContext', '', 'Server', 'DomainContext', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Server\n        $TargetDCIP', '', 'Server', 'TargetDCIP', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Session.UserName\n                        $CName', '', 'Session.UserName', 'CName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Share.Name\n                            $Path', '', 'Share.Name', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Share.Remark\n                        $Path', '', 'Share.Remark', 'Path', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SidString\n                            $IsGroup', '', 'SidString', 'IsGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SidString\n                        $DomainTrust', '', 'SidString', 'DomainTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SourceDomain\n                        $DomainTrust', '', 'SourceDomain', 'DomainTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SourceDomain\n                $DomainTrust', '', 'SourceDomain', 'DomainTrust', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'SourceIP\n                            $RDPSession', '', 'SourceIP', 'RDPSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TTL\n        $DNSRecordObject', '', 'TTL', 'DNSRecordObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TXT\n            $DNSRecordObject', '', 'TXT', 'DNSRecordObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetComputer\n                                    $UserLocation', '', 'TargetComputer', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetComputer\n                                $UserLocation', '', 'TargetComputer', 'UserLocation', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetDomain.Name\n\n            $TargetDC', '', 'TargetDomain.Name', 'TargetDC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetDomain\n                $UserSearcher', '', 'TargetDomain', 'UserSearcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetDomain\n        $ASREPHashArguments', '', 'TargetDomain', 'ASREPHashArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetGptTmplPath\n                    $Contents', '', 'TargetGptTmplPath', 'Contents', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetGroupsXMLPath\n                    $GroupsXML', '', 'TargetGroupsXMLPath', 'GroupsXML', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetIdentity\n        $Targets', '', 'TargetIdentity', 'Targets', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TargetServer\n                                $FoundConnection', '', 'TargetServer', 'FoundConnection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempObject.dwVersion\n                        $Output', '', 'TempObject.dwVersion', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempObject.ftimeCreated\n                        $Output', '', 'TempObject.ftimeCreated', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempObject.ftimeDeleted\n                        $Output', '', 'TempObject.ftimeDeleted', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempObject.ftimeLastOriginatingChange\n                        $Output', '', 'TempObject.ftimeLastOriginatingChange', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempObject.pszAttributeName\n                        $Output', '', 'TempObject.pszAttributeName', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempObject.pszLastOriginatingDsaDN\n                        $Output', '', 'TempObject.pszLastOriginatingDsaDN', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TempObject.pszObjectDn\n                        $Output', '', 'TempObject.pszObjectDn', 'Output', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'ThreadedFunction\n            $ScriptParams', '', 'ThreadedFunction', 'ScriptParams', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'Threads $Threads', '', 'Threads', 'Threads', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TimeStamp\n        $DNSRecordObject', '', 'TimeStamp', 'DNSRecordObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TokenHandle $InvokeadPEAS_LogonToken', '', 'TokenHandle', 'InvokeadPEAS_LogonToken', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TokenHandle $LogonToken', '', 'TokenHandle', 'LogonToken', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TokenHandle $Token', '', 'TokenHandle', 'Token', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TokenHandle $TokenHandle', '', 'TokenHandle', 'TokenHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n                            $Name', '', 'True', 'Name', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n                            $Object', '', 'True', 'Object', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n                    $ObjectSearcherArguments', '', 'True', 'ObjectSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n                $Group', '', 'True', 'Group', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n            $SearcherArguments', '', 'True', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n        $User', '', 'True', 'User', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'True\n\n            $Results', '', 'True', 'Results', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', 'TrustType\n                $DomainTrust', '', 'TrustType', 'DomainTrust', '', '', '', '', '', '', '', '')"
