"( ""Function call with parameters that may be unsafe - this call relies on the caller to check that the passed values are correct. "" ""To disable this warning, use -D_SCL_SECURE_NO_WARNINGS. See documentation on how to use Visual C++ 'Checked Iterators'"""
"(IXMLElement *This,BSTR strPropertyName,VARIANT PropertyValue"
"(IXMLElement *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLElement *This,IXMLElement **ppParent"
"(IXMLElement *This,IXMLElement *pChildElem"
"(IXMLElement *This,IXMLElement *pChildElem, long lIndex, long lReserved"
"(IXMLElement *This,IXMLElementCollection **pp"
"(IXMLElement *This,REFIID riid, void **ppvObject"
"(IXMLElement *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLElement *This,UINT *pctinfo"
"(IXMLElement *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLElement2 *This, long *plType"
"(IXMLElement2 *This,BSTR *p"
"(IXMLElement2 *This,BSTR p"
"(IXMLElement2 *This,BSTR strPropertyName"
"(IXMLElement2 *This,BSTR strPropertyName,VARIANT *PropertyValue"
"(IXMLElement2 *This,BSTR strPropertyName,VARIANT PropertyValue"
"(IXMLElement2 *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLElement2 *This,IXMLElement2 **ppParent"
"(IXMLElement2 *This,IXMLElement2 *pChildElem"
"(IXMLElement2 *This,IXMLElement2 *pChildElem, long lIndex, long lReserved"
"(IXMLElement2 *This,IXMLElementCollection **pp"
"(IXMLElement2 *This,REFIID riid, void **ppvObject"
"(IXMLElement2 *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLElement2 *This,UINT *pctinfo"
"(IXMLElement2 *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLElementCollection *This, long *p"
"(IXMLElementCollection *This, long v"
"(IXMLElementCollection *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLElementCollection *This,IUnknown **ppUnk"
"(IXMLElementCollection *This,REFIID riid, void **ppvObject"
"(IXMLElementCollection *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLElementCollection *This,UINT *pctinfo"
"(IXMLElementCollection *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLElementCollection *This,VARIANT var1,VARIANT var2,IDispatch **ppDisp"
"(IXMLError *This,REFIID riid, void **ppvObject"
"(IXMLError *This,XML_ERROR *pErrorReturn"
"(IXMLHttpRequest *This, long *plState"
"(IXMLHttpRequest *This, long *plStatus"
"(IXMLHttpRequest *This,BSTR *pbstrBody"
"(IXMLHttpRequest *This,BSTR *pbstrHeaders"
"(IXMLHttpRequest *This,BSTR *pbstrStatus"
"(IXMLHttpRequest *This,BSTR bstrHeader,BSTR *pbstrValue"
"(IXMLHttpRequest *This,BSTR bstrHeader,BSTR bstrValue"
"(IXMLHttpRequest *This,BSTR bstrMethod,BSTR bstrUrl,VARIANT varAsync,VARIANT bstrUser,VARIANT bstrPassword"
"(IXMLHttpRequest *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXMLHttpRequest *This,IDispatch **ppBody"
"(IXMLHttpRequest *This,IDispatch *pReadyStateSink"
"(IXMLHttpRequest *This,REFIID riid, void **ppvObject"
"(IXMLHttpRequest *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXMLHttpRequest *This,UINT *pctinfo"
"(IXMLHttpRequest *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXMLHttpRequest *This,VARIANT *pvarBody"
"(IXMLHttpRequest *This,VARIANT varBody"
"(IXTLRuntime *This, double dblNumber,BSTR bstrFormat,BSTR *pbstrFormattedString"
"(IXTLRuntime *This, long lIndex,BSTR bstrFormat,BSTR *pbstrFormattedString"
"(IXTLRuntime *This,BSTR *name"
"(IXTLRuntime *This,BSTR *nameString"
"(IXTLRuntime *This,BSTR *namespaceURI"
"(IXTLRuntime *This,BSTR *nodeType"
"(IXTLRuntime *This,BSTR *prefixString"
"(IXTLRuntime *This,BSTR *text"
"(IXTLRuntime *This,BSTR *xmlString"
"(IXTLRuntime *This,BSTR bstrNodeName,IXMLDOMNode *pNode, long *pNumber"
"(IXTLRuntime *This,BSTR dataTypeName"
"(IXTLRuntime *This,BSTR queryString,IXMLDOMNode **resultNode"
"(IXTLRuntime *This,BSTR queryString,IXMLDOMNodeList **resultList"
"(IXTLRuntime *This,BSTR text"
"(IXTLRuntime *This,DISPID dispIdMember,REFIID riid,LCID lcid,WORD wFlags,DISPPARAMS *pDispParams,VARIANT *pVarResult,EXCEPINFO *pExcepInfo,UINT *puArgErr"
"(IXTLRuntime *This,DOMNodeType *type"
"(IXTLRuntime *This,IXMLDOMDocument **XMLDOMDocument"
"(IXTLRuntime *This,IXMLDOMNamedNodeMap **attributeMap"
"(IXTLRuntime *This,IXMLDOMNode **definitionNode"
"(IXTLRuntime *This,IXMLDOMNode **firstChild"
"(IXTLRuntime *This,IXMLDOMNode **lastChild"
"(IXTLRuntime *This,IXMLDOMNode **nextSibling"
"(IXTLRuntime *This,IXMLDOMNode **parent"
"(IXTLRuntime *This,IXMLDOMNode **previousSibling"
"(IXTLRuntime *This,IXMLDOMNode *childNode,IXMLDOMNode **oldChild"
"(IXTLRuntime *This,IXMLDOMNode *newChild,IXMLDOMNode **outNewChild"
"(IXTLRuntime *This,IXMLDOMNode *newChild,IXMLDOMNode *oldChild,IXMLDOMNode **outOldChild"
"(IXTLRuntime *This,IXMLDOMNode *newChild,VARIANT refChild,IXMLDOMNode **outNewChild"
"(IXTLRuntime *This,IXMLDOMNode *pNode, long *pDepth"
"(IXTLRuntime *This,IXMLDOMNode *pNode, long *pID"
"(IXTLRuntime *This,IXMLDOMNode *pNode, long *pNumber"
"(IXTLRuntime *This,IXMLDOMNode *stylesheet,BSTR *xmlString"
"(IXTLRuntime *This,IXMLDOMNode *stylesheet,VARIANT outputObject"
"(IXTLRuntime *This,IXMLDOMNodeList **childList"
"(IXTLRuntime *This,REFIID riid, void **ppvObject"
"(IXTLRuntime *This,REFIID riid,LPOLESTR *rgszNames,UINT cNames,LCID lcid,DISPID *rgDispId"
"(IXTLRuntime *This,UINT *pctinfo"
"(IXTLRuntime *This,UINT iTInfo,LCID lcid,ITypeInfo **ppTInfo"
"(IXTLRuntime *This,VARIANT *typedValue"
"(IXTLRuntime *This,VARIANT *value"
"(IXTLRuntime *This,VARIANT typedValue"
"(IXTLRuntime *This,VARIANT value"
"(IXTLRuntime *This,VARIANT varDate,BSTR bstrFormat,VARIANT varDestLocale,BSTR *pbstrFormattedString"
"(IXTLRuntime *This,VARIANT varTime,BSTR bstrFormat,VARIANT varDestLocale,BSTR *pbstrFormattedString"
"(IXTLRuntime *This,VARIANT_BOOL *hasChild"
"(IXTLRuntime *This,VARIANT_BOOL *isParsed"
"(IXTLRuntime *This,VARIANT_BOOL *isSpecified"
"(IXTLRuntime *This,VARIANT_BOOL deep,IXMLDOMNode **cloneRoot"
"(IZoneIdentifier *This,DWORD *pdwZone"
"(IZoneIdentifier *This,DWORD dwZone"
"(IZoneIdentifier *This,REFIID riid, void **ppvObject"
"(Internal_set_lock_count_to_zero_, (lock"
"(Juicy(NULL, FALSE"
"(L##mesg, file, line"
"(LARGE_INTEGER TotalFileSize,LARGE_INTEGER TotalBytesTransferred,LARGE_INTEGER StreamSize,LARGE_INTEGER StreamBytesTransferred,DWORD dwStreamNumber,DWORD dwCallbackReason,HANDLE hSourceFile,HANDLE hDestinationFile,LPVOID lpData"
"(LGRPID,LCID,LPSTR,LONG_PTR"
"(LGRPID,LCID,LPWSTR,LONG_PTR"
"(LGRPID,LPSTR,LPSTR,DWORD,LONG_PTR"
"(LGRPID,LPWSTR,LPWSTR,DWORD,LONG_PTR"
"(LPCSTR lpszReading,DWORD,LPCSTR lpszString,LPVOID"
"(LPCSTR lpszStoreProvider,DWORD dwEncodingType,HCRYPTPROV_LEGACY hCryptProv,DWORD dwFlags, const void *pvPara,HCERTSTORE hCertStore,PCERT_STORE_PROV_INFO pStoreProvInfo"
"(LPCSTR pszObjectOid,PCRYPT_BLOB_ARRAY pObject,LPVOID pvFreeContext"
"(LPCWSTR lpszReading,DWORD,LPCWSTR lpszString,LPVOID"
"(LPCWSTR pwszStoreLocation,DWORD dwFlags, void *pvReserved, void *pvArg"
"(LPDWORD lpdwBufferLength,LPWSANAMESPACE_INFOA lpnspBuffer"
"(LPDWORD lpdwBufferLength,LPWSANAMESPACE_INFOEXA lpnspBuffer"
"(LPDWORD lpdwBufferLength,LPWSANAMESPACE_INFOEXW lpnspBuffer"
"(LPDWORD lpdwBufferLength,LPWSANAMESPACE_INFOW lpnspBuffer"
"(LPGUID lpProviderId,LPGUID lpServiceClassId,LPDWORD lpdwBufSize,LPWSASERVICECLASSINFOA lpServiceClassInfo"
"(LPGUID lpProviderId,LPGUID lpServiceClassId,LPDWORD lpdwBufSize,LPWSASERVICECLASSINFOW lpServiceClassInfo"
"(LPGUID lpServiceClassId,LPSTR lpszServiceClassName,LPDWORD lpdwBufferLength"
"(LPGUID lpServiceClassId,LPWSTR lpszServiceClassName,LPDWORD lpdwBufferLength"
"(LPHANDLE lpNotificationHandle,LPWSAOVERLAPPED lpOverlapped,LPWSAOVERLAPPED_COMPLETION_ROUTINE lpCompletionRoutine"
"(LPOLECLIENT,OLE_NOTIFICATION,LPOLEOBJECT"
"(LPOLEOBJECT,BOOL"
"(LPOLEOBJECT,DWORD *"
"(LPOLEOBJECT,HANDLE,LPOLECLIENT,BOOL"
"(LPOLEOBJECT,HDC,OLE_CONST RECT *,OLE_CONST RECT *,HDC"
"(LPOLEOBJECT,HGLOBAL"
"(LPOLEOBJECT,HGLOBAL,UINT"
"(LPOLEOBJECT,LONG *"
"(LPOLEOBJECT,LPOLECLIENT,LHCLIENTDOC,OLE_LPCSTR,LPOLEOBJECT *"
"(LPOLEOBJECT,LPOLEOBJECT"
"(LPOLEOBJECT,LPOLESTREAM"
"(LPOLEOBJECT,LPSTR,UINT *"
"(LPOLEOBJECT,OLECLIPFORMAT"
"(LPOLEOBJECT,OLECLIPFORMAT,HANDLE *"
"(LPOLEOBJECT,OLECLIPFORMAT,HANDLE"
"(LPOLEOBJECT,OLEOPT_UPDATE *"
"(LPOLEOBJECT,OLEOPT_UPDATE"
"(LPOLEOBJECT,OLE_CONST LOGPALETTE *"
"(LPOLEOBJECT,OLE_CONST RECT *"
"(LPOLEOBJECT,OLE_LPCSTR"
"(LPOLEOBJECT,OLE_LPCSTR,LPOLECLIENT,LHCLIENTDOC,OLE_LPCSTR,LPOLEOBJECT *"
"(LPOLEOBJECT,OLE_LPCSTR,OLE_LPCSTR"
"(LPOLEOBJECT,RECT *"
"(LPOLEOBJECT,UINT,BOOL,BOOL"
"(LPOLEOBJECT,UINT,BOOL,BOOL,HWND,OLE_CONST RECT *"
"(LPOLEOBJECT,UINT,LONG *"
"(LPOLESERVER,HGLOBAL"
"(LPOLESERVER,LHSERVERDOC,OLE_LPCSTR,LPOLESERVERDOC *"
"(LPOLESERVER,LHSERVERDOC,OLE_LPCSTR,OLE_LPCSTR,LPOLESERVERDOC *"
"(LPOLESERVER,LHSERVERDOC,OLE_LPCSTR,OLE_LPCSTR,OLE_LPCSTR,LPOLESERVERDOC *"
"(LPOLESERVERDOC,HGLOBAL"
"(LPOLESERVERDOC,OLE_CONST LOGPALETTE *"
"(LPOLESERVERDOC,OLE_CONST RECT *"
"(LPOLESERVERDOC,OLE_LPCSTR,LPOLEOBJECT *,LPOLECLIENT"
"(LPOLESERVERDOC,OLE_LPCSTR,OLE_LPCSTR"
"(LPOLESTREAM, const void *,DWORD"
"(LPOLESTREAM, void *,DWORD"
"(LPOLESTREAM,OLE_CONST void *,DWORD"
"(LPSOCKADDR lpsaAddress,DWORD dwAddressLength,LPWSAPROTOCOL_INFOA lpProtocolInfo,LPSTR lpszAddressString,LPDWORD lpdwAddressStringLength"
"(LPSOCKADDR lpsaAddress,DWORD dwAddressLength,LPWSAPROTOCOL_INFOW lpProtocolInfo,LPWSTR lpszAddressString,LPDWORD lpdwAddressStringLength"
"(LPSTR AddressString,INT AddressFamily,LPWSAPROTOCOL_INFOA lpProtocolInfo,LPSOCKADDR lpAddress,LPINT lpAddressLength"
"(LPSTR lpBuffer,UINT uSize"
"(LPSTR lpch, int ichCurrent, int cch, int code"
"(LPSTR lpmmioinfo,UINT uMsg,LPARAM lParam1,LPARAM lParam2"
"(LPSTR pszParamOid,LPVOID pvParam"
"(LPSTR pszTargetName,DWORD dwFlags"
"(LPSTR,CALID"
"(LPSTR,LONG_PTR"
"(LPSTR,LPARAM"
"(LPSTR,LPSTR,UINT,LPSTR,LPDEVMODE"
"(LPVOID keycontext,PVALCONTEXT val_list,DWORD num_vals,LPVOID outputbuffer,DWORD *total_outlen,DWORD input_blen"
"(LPVOID lpArgToCompletionRoutine,DWORD dwTimerLowValue,DWORD dwTimerHighValue"
"(LPVOID pContext,PCERT_NAME_BLOB *rgIdentifierOrNameList,DWORD dwIdentifierOrNameListCount"
"(LPVOID pData,HDC *phdc,LPVOID *ppDDrawRef"
"(LPVOID pPluginContext,PBYTE pbData"
"(LPVOID pPluginContext,PCRYPT_DATA_BLOB pIdentifier"
"(LPVOID pPluginContext,PCRYPT_DATA_BLOB pIdentifier,DWORD dwNameType,PCERT_NAME_BLOB pNameBlob,PBYTE *ppbContent,DWORD *pcbContent,PCWSTR *ppwszPassword,PCRYPT_DATA_BLOB *ppIdentifier"
"(LPVOID pPluginContext,PCWSTR pwszPassword"
"(LPVOID pvCompletion,DWORD dwCompletionCode,LPCSTR pszUrl,LPSTR pszObjectOid,LPVOID pvObject"
"(LPVOID,LPARAM"
"(LPVOID,LPFNADDPROPSHEETPAGE,LPARAM"
"(LPWSAQUERYSETA lpqsRegInfo,WSAESETSERVICEOP essoperation,DWORD dwControlFlags"
"(LPWSAQUERYSETA lpqsRestrictions,DWORD dwControlFlags,LPHANDLE lphLookup"
"(LPWSAQUERYSETW lpqsRegInfo,WSAESETSERVICEOP essoperation,DWORD dwControlFlags"
"(LPWSAQUERYSETW lpqsRestrictions,DWORD dwControlFlags,LPHANDLE lphLookup"
"(LPWSTR AddressString,INT AddressFamily,LPWSAPROTOCOL_INFOW lpProtocolInfo,LPSOCKADDR lpAddress,LPINT lpAddressLength"
"(LPWSTR lpBuffer,UINT uSize"
"(LPWSTR lpValueName,LPVOID *lppData,LPDWORD lpcbTotalBytes,LPDWORD lpNumObjectTypes"
"(LPWSTR lpch, int ichCurrent, int cch, int code"
"(LPWSTR pObjectName,DWORD Status,PPROG_INVOKE_SETTING pInvokeSetting,PVOID Args,BOOL SecuritySet"
"(LPWSTR pszTargetName,DWORD dwFlags"
"(LPWSTR,CALID"
"(LPWSTR,CALID,LPWSTR,LPARAM"
"(LPWSTR,DWORD,LPARAM"
"(LPWSTR,LPARAM"
"(ListenSocket + 1, &fds, NULL, NULL, &timeout"
"(ListenSocket, &fds"
"(ListenSocket, NULL, NULL"
"(ListenSocket, SOL_SOCKET, SO_REUSEADDR, (char *"
"(ListenSocket, SOMAXCONN"
"(ListenSocket, result->ai_addr, (int"
"(MAKELANGID(LANG_NEUTRAL, SUBLANG_DEFAULT"
"(MAKELANGID(LANG_NEUTRAL, SUBLANG_SYS_DEFAULT"
"(MAKELCID(LANG_SYSTEM_DEFAULT, SORT_DEFAULT"
"(MAKELCID(LANG_USER_DEFAULT, SORT_DEFAULT"
"(MAKELCID(MAKELANGID(LANG_INVARIANT, SUBLANG_NEUTRAL"
"(MAKELCID(MAKELANGID(LANG_NEUTRAL, SUBLANG_CUSTOM_DEFAULT"
"(MAKELCID(MAKELANGID(LANG_NEUTRAL, SUBLANG_CUSTOM_UNSPECIFIED"
"(MAKELCID(MAKELANGID(LANG_NEUTRAL, SUBLANG_UI_CUSTOM_DEFAULT"
"(MAKEWORD(2, 2"
"(MB_CUR_MAX > 1 ? _isctype(c, _ALPHA | _DIGIT"
"(MB_CUR_MAX > 1 ? _isctype(c, _ALPHA"
"(MB_CUR_MAX > 1 ? _isctype(c, _BLANK | _PUNCT | _ALPHA | _DIGIT"
"(MB_CUR_MAX > 1 ? _isctype(c, _CONTROL"
"(MB_CUR_MAX > 1 ? _isctype(c, _DIGIT"
"(MB_CUR_MAX > 1 ? _isctype(c, _HEX"
"(MB_CUR_MAX > 1 ? _isctype(c, _LOWER"
"(MB_CUR_MAX > 1 ? _isctype(c, _PUNCT | _ALPHA | _DIGIT"
"(MB_CUR_MAX > 1 ? _isctype(c, _PUNCT"
"(MB_CUR_MAX > 1 ? _isctype(c, _SPACE"
"(MB_CUR_MAX > 1 ? _isctype(c, _UPPER"
"(MCIDEVICEID mciId,DWORD dwYieldData"
"(NCRYPT_KEY_HANDLE hKey,DWORD dwCertEncodingType,PCRYPT_ALGORITHM_IDENTIFIER pSignatureAlgorithm, void *pvDecodedSignPara,LPCWSTR pwszCNGPubKeyAlgid,LPCWSTR pwszCNGHashAlgid,BYTE *pbComputedHash,DWORD cbComputedHash,BYTE *pbSignature,DWORD *pcbSignature"
"(NCRYPT_KEY_HANDLE hNCryptKey,DWORD dwCertEncodingType,LPSTR pszPublicKeyObjId,DWORD dwFlags, void *pvAuxInfo,PCERT_PUBLIC_KEY_INFO pInfo,DWORD *pcbInfo"
"(NOTIFYICONDATAA, guidItem"
"(NOTIFYICONDATAA, hBalloonIcon"
"(NOTIFYICONDATAW, guidItem"
"(NOTIFYICONDATAW, hBalloonIcon"
"(NULL, &clsid, NULL, CLSCTX_LOCAL_SERVER, t, 1, qis"
"(NULL, 0, (LPTHREAD_START_ROUTINE"
"(NULL, 0, ThreadProc, hRead, 0, NULL"
"(NULL, dcom_port, &hints, &result"
"(NULL, n, s, cs, d, cd, u"
"(NULL, s, n, cn, d, cd, u"
"(NULL, sid, UserName, &UserSize, DomainName, &DomainSize, &SidType"
"(NULL, true, &lb"
"(Name=#n, p1=_SA_SPECSTRIZE(pp1"
"(NdrFieldOffset(s,f"
"(OLESTR(""{00000000-0000-0000-C000-000000000046}"""
"(OLESTR(""{00000306-0000-0000-c000-000000000046}"""
"(OPENFILENAMEA,lpTemplateName"
"(OPENFILENAMEW,lpTemplateName"
"(OnParameterOrReturnOnly,SA(Parameter"
"(PBYTE ClientHello,DWORD ClientHelloSize,PBYTE *ServerIdentity,PDWORD ServerIdentitySize,DWORD Flags"
"(PBYTE pbData,PVOID pvCallbackContext,PULONG ulLength"
"(PBYTE pbData,PVOID pvCallbackContext,ULONG ulLength"
"(PCCERT_CONTEXT pCert, void *pvFindArg"
"(PCCRYPT_OID_INFO pInfo, void *pvArg"
"(PCMSG_CNG_CONTENT_DECRYPT_INFO pCNGContentDecryptInfo,DWORD dwFlags, void *pvReserved"
"(PCMSG_CNG_CONTENT_DECRYPT_INFO pCNGContentDecryptInfo,PCMSG_CTRL_KEY_AGREE_DECRYPT_PARA pKeyAgreeDecryptPara,DWORD dwFlags, void *pvReserved"
"(PCMSG_CNG_CONTENT_DECRYPT_INFO pCNGContentDecryptInfo,PCMSG_CTRL_KEY_TRANS_DECRYPT_PARA pKeyTransDecryptPara,DWORD dwFlags, void *pvReserved"
"(PCMSG_CONTENT_ENCRYPT_INFO pContentEncryptInfo,DWORD dwFlags, void *pvReserved"
"(PCMSG_CONTENT_ENCRYPT_INFO pContentEncryptInfo,PCMSG_KEY_AGREE_RECIPIENT_ENCODE_INFO pKeyAgreeEncodeInfo,PCMSG_KEY_AGREE_ENCRYPT_INFO pKeyAgreeEncryptInfo,DWORD dwFlags, void *pvReserved"
"(PCMSG_CONTENT_ENCRYPT_INFO pContentEncryptInfo,PCMSG_KEY_TRANS_RECIPIENT_ENCODE_INFO pKeyTransEncodeInfo,PCMSG_KEY_TRANS_ENCRYPT_INFO pKeyTransEncryptInfo,DWORD dwFlags, void *pvReserved"
"(PCMSG_CONTENT_ENCRYPT_INFO pContentEncryptInfo,PCMSG_MAIL_LIST_RECIPIENT_ENCODE_INFO pMailListEncodeInfo,PCMSG_MAIL_LIST_ENCRYPT_INFO pMailListEncryptInfo,DWORD dwFlags, void *pvReserved"
"(PCRYPT_ALGORITHM_IDENTIFIER pContentEncryptionAlgorithm,PCMSG_CTRL_KEY_AGREE_DECRYPT_PARA pKeyAgreeDecryptPara,DWORD dwFlags, void *pvReserved,HCRYPTKEY *phContentEncryptKey"
"(PCRYPT_ALGORITHM_IDENTIFIER pContentEncryptionAlgorithm,PCMSG_CTRL_KEY_TRANS_DECRYPT_PARA pKeyTransDecryptPara,DWORD dwFlags, void *pvReserved,HCRYPTKEY *phContentEncryptKey"
"(PCRYPT_ALGORITHM_IDENTIFIER pContentEncryptionAlgorithm,PCMSG_CTRL_MAIL_LIST_DECRYPT_PARA pMailListDecryptPara,DWORD dwFlags, void *pvReserved,HCRYPTKEY *phContentEncryptKey"
"(PCSTR pName,PCSTR pServiceName,DWORD dwNameSpace,LPGUID lpNspId, const ADDRINFOEXA *hints,PADDRINFOEXA *ppResult,timeval *timeout,LPOVERLAPPED lpOverlapped,LPLOOKUPSERVICE_COMPLETION_ROUTINE lpCompletionRoutine,LPHANDLE lpNameHandle"
"(PCSTR pName,PCSTR pServiceName,SOCKET_ADDRESS *pAddresses,DWORD dwAddressCount,LPBLOB lpBlob,DWORD dwFlags,DWORD dwNameSpace,LPGUID lpNspId,timeval *timeout,LPOVERLAPPED lpOverlapped,LPLOOKUPSERVICE_COMPLETION_ROUTINE lpCompletionRoutine,LPHANDLE lpNameHandle"
"(PCSTR pNodeName,PCSTR pServiceName, const ADDRINFOA *pHints,PADDRINFOA *ppResult"
"(PCWSTR pName,PCWSTR pServiceName,DWORD dwNameSpace,LPGUID lpNspId, const ADDRINFOEXW *hints,PADDRINFOEXW *ppResult,timeval *timeout,LPOVERLAPPED lpOverlapped,LPLOOKUPSERVICE_COMPLETION_ROUTINE lpCompletionRoutine,LPHANDLE lpHandle"
"(PCWSTR pName,PCWSTR pServiceName,SOCKET_ADDRESS *pAddresses,DWORD dwAddressCount,LPBLOB lpBlob,DWORD dwFlags,DWORD dwNameSpace,LPGUID lpNspId,timeval *timeout,LPOVERLAPPED lpOverlapped,LPLOOKUPSERVICE_COMPLETION_ROUTINE lpCompletionRoutine,LPHANDLE lpNameHandle"
"(PCredHandle, unsigned long, void *"
"(PCredHandle, unsigned long, void *, unsigned long"
"(PCredHandle,PCtxtHandle,PSECURITY_STRING, unsigned long, unsigned long, unsigned long,PSecBufferDesc, unsigned long,PCtxtHandle,PSecBufferDesc, unsigned long *,PTimeStamp"
"(PCredHandle,PCtxtHandle,PSecBufferDesc, unsigned long, unsigned long,PCtxtHandle,PSecBufferDesc, unsigned long *,PTimeStamp"
"(PCredHandle,PCtxtHandle,SEC_CHAR *, unsigned long, unsigned long, unsigned long,PSecBufferDesc, unsigned long,PCtxtHandle,PSecBufferDesc, unsigned long *,PTimeStamp"
"(PCredHandle,PCtxtHandle,SEC_WCHAR *, unsigned long, unsigned long, unsigned long,PSecBufferDesc, unsigned long,PCtxtHandle,PSecBufferDesc, unsigned long *,PTimeStamp"
"(PCredHandle,PSECURITY_STRING,PSECURITY_STRING, unsigned long, void *,SEC_GET_KEY_FN, void *,PTimeStamp"
"(PCredHandle,SEC_CHAR *,SEC_CHAR *, unsigned long, void *,SEC_GET_KEY_FN, void *,PTimeStamp"
"(PCredHandle,SEC_WCHAR *,SEC_WCHAR *, unsigned long, void *,SEC_GET_KEY_FN, void *,PTimeStamp"
"(PCtxtHandle, unsigned long, void *"
"(PCtxtHandle, unsigned long, void *, unsigned long"
"(PCtxtHandle, unsigned long,PSecBufferDesc, unsigned long"
"(PCtxtHandle, void **"
"(PCtxtHandle,PSecBufferDesc"
"(PCtxtHandle,PSecBufferDesc, unsigned long, unsigned long *"
"(PFN_CRYPT_OBJECT_LOCATOR_PROVIDER_FLUSH pfnFlush,LPVOID pContext,DWORD *pdwExpectedObjectCount,PCRYPT_OBJECT_LOCATOR_PROVIDER_TABLE *ppFuncTable, void **ppPluginContext"
"(PHANDLE ProcessHandle, ACCESS_MASK DesiredAccess, POBJECT_ATTRIBUTES ObjectAttributes, PCLIENT_ID ClientId"
"(PHANDLE ThreadHandle, ACCESS_MASK AccessMask, POBJECT_ATTRIBUTES ObjectAttributes, PCLIENT_ID"
"(PINIT_ONCE InitOnce,PVOID Parameter,PVOID *Context"
"(PSECURITY_STRING,PSECURITY_STRING, unsigned long, void *, void *,SEC_GET_KEY_FN, void *,PCredHandle,PTimeStamp"
"(PSECURITY_STRING,PSecBuffer,VOID *,PCtxtHandle"
"(PSECURITY_STRING,PSecPkgInfoW *"
"(PSecBufferDesc pSecBufferDesc, PSecBuffer pSecBuffer"
"(PTP_CALLBACK_INSTANCE Instance,PVOID Context"
"(PTP_CALLBACK_INSTANCE Instance,PVOID Context,PTP_TIMER Timer"
"(PTP_CALLBACK_INSTANCE Instance,PVOID Context,PTP_WAIT Wait,TP_WAIT_RESULT WaitResult"
"(PTP_CALLBACK_INSTANCE Instance,PVOID Context,PTP_WORK Work"
"(PUCHAR pbCertificate,DWORD cbCertificate,BOOL VerifySignature,PX509Certificate *ppCertificate"
"(PVOID Addr,SIZE_T Range"
"(PVOID DllHandle,DWORD Reason,PVOID Reserved"
"(PVOID ObjectContext,PVOID CleanupContext"
"(PVOID,BOOLEAN"
"(ProcThreadAttributeGroupAffinity, TRUE, TRUE, FALSE"
"(ProcThreadAttributeHandleList, FALSE, TRUE, FALSE"
"(ProcThreadAttributeIdealProcessor, TRUE, TRUE, FALSE"
"(ProcThreadAttributeMitigationPolicy, FALSE, TRUE, FALSE"
"(ProcThreadAttributeParentProcess, FALSE, TRUE, FALSE"
"(ProcThreadAttributePreferredNode, FALSE, TRUE, FALSE"
"(ProcThreadAttributeProtectionLevel, FALSE, TRUE, FALSE"
"(ProcThreadAttributeSecurityCapabilities, FALSE, TRUE, FALSE"
"(ProcThreadAttributeUmsThread, TRUE, TRUE, FALSE"
"(REFCLSID,REFIID,LPVOID *"
"(REPARSE_GUID_DATA_BUFFER, GenericReparseBuffer"
"(RPC_BINDING_HANDLE ClientBinding, unsigned long RequestedMgmtOperation,RPC_STATUS *Status"
"(RPC_BINDING_HANDLE hBinding, int fServerSide, unsigned long *pulSendingTag, unsigned long *pulDesiredReceivingTag, unsigned long *pulReceivingTag,error_status_t *pStatus"
"(RPC_BINDING_HANDLE hBinding, unsigned long ulNetworkCodeSet, unsigned long ulLocalBufferSize,IDL_CS_CONVERT *conversionType, unsigned long *pulNetworkBufferSize,error_status_t *pStatus"
"(RPC_BINDING_HANDLE hBinding, unsigned long ulNetworkCodeSet, unsigned long ulNetworkBufferSize,IDL_CS_CONVERT *conversionType, unsigned long *pulLocalBufferSize,error_status_t *pStatus"
"(RPC_BINDING_HANDLE hBinding, unsigned long ulNetworkCodeSet, void *pLocalData, unsigned long ulLocalDataLength,byte *pNetworkData, unsigned long *pulNetworkDataLength,error_status_t *pStatus"
